Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
0,7,7,AT743,J8753,A7,K65,KQ65,AQ4,965,AT83,J8,K62,KQ43,QJ942,92,T9,JT82
1,5,T85,94,QJT987,QT,A6,KJT5,32,K7632,9732,732,K64,J95,KQJ4,AQ86,A5,A84
2,2,-,QT9,JT975,87532,AKT9864,3,86,J94,532,AK8752,Q3,Q6,QJ7,J64,AK42,AKT
3,7,AT4,AQJ4,AK7,T73,J976,KT5,543,Q95,Q53,73,T62,KJ864,K82,9862,QJ98,A2
4,7,A2,AKQ9764,K,852,KQT76,8,QJ76,764,83,J2,T985,AQJ93,J954,T53,A432,KT
5,6,AQ96,A3,T6,AJT63,KJT2,987,32,9752,8743,QT6,KQJ5,Q8,5,KJ542,A9874,K4
6,3,754,A87543,A9,K4,QJ982,62,Q76,653,3,KJT9,T852,QT72,AKT6,Q,KJ43,AJ98
7,9,T82,J,AJ86542,54,Q95,A732,KQ,AT97,73,K965,973,QJ83,AKJ64,QT84,T,K62
8,11,A82,J6,AJT543,T5,KJ65,K7,Q98,AK83,74,AQ9432,K,J942,QT93,T85,762,Q76
9,3,J5,K8532,J52,432,Q9742,A9,KT8,JT7,A83,QJ7,AQ743,Q9,KT6,T64,96,AK865
10,4,54,K763,A9762,K9,QT87,Q,53,QJ8542,K6,T54,KQT,AT763,AJ932,AJ982,J84,-
11,9,A43,AKQ5,Q9,KQ72,6,T76,J7654,AT86,KT72,J43,KT2,J95,QJ985,982,A83,43
12,9,K874,QJ7652,-,KJ3,AQJ632,-,AKJT765,-,T5,T3,Q2,AT87654,9,AK984,9843,Q92
13,3,K6,853,9852,7532,T53,AQ942,4,K984,AJ72,-,AQT763,JT6,Q984,KJT76,KJ,AQ
14,1,T94,A763,Q9853,4,J75,K82,KT4,9872,AQ832,T94,J76,65,K6,QJ5,A2,AKQJT3
