Index,ns,nh,nd,nc,es,eh,ed,ec,ws,wh,wd,wc,ss,sh,sd,sc
0,ns,nh,nd,nc,es,eh,ed,ec,ws,wh,wd,wc,ss,sh,sd,sc
1,752,JT4,AT,QT653,643,Q832,J96,KJ4,AKJT9,A,KQ73,872,Q8,K9765,8542,A9
2,AJT8,542,73,AJ97,Q94,AK73,9852,63,62,JT98,AKQJ4,52,K753,Q6,T6,KQT84
3,Q8,Q763,8,KJT862,KT9653,K2,JT42,7,J7,T954,AK7,AQ43,A42,AJ8,Q9653,95
4,9,7,A6543,Q97632,6543,Q9643,Q,854,872,AK8,J97,AKJT,AKQJT,JT52,KT82,-
5,AT96,J7653,AQJ,Q,K873,8,KT98,K976,Q,AKT9,743,AJ532,J542,Q42,652,T84
6,K2,KQ65,AJT2,J83,9654,JT32,975,62,AJ8,9,8643,AKQ54,QT73,A874,KQ,T97
7,K9654,K854,A3,Q6,82,T93,QJ8,T9432,AQT73,QJ7,T92,A7,J,A62,K7654,KJ85
8,JT8,A2,75,JT9432,43,QT54,Q432,AQ7,A752,KJ876,AK,65,KQ96,93,JT986,K8
9,J8,Q75,K52,K9763,-,9863,QJT943,A52,KT97653,KT,7,QJT,AQ42,AJ42,A86,84
10,AT7,75,Q976,8432,KQJ83,94,84,QJ76,9,AQ8632,K2,KT95,6542,KJT,AJT53,A
11,AKJ,T9875,54,KQ3,T752,A62,Q76,T62,4,QJ3,J982,AJ987,Q9863,K4,AKT3,54
12,A2,J973,QJ,AT964,K73,862,AT854,82,J865,KQT5,63,KQ7,QT94,A4,K972,J53
13,6,QT7652,QT5,K97,A54,AK4,J732,T63,932,J9,A9864,J52,KQJT87,83,K,AQ84
14,K4,QT9832,T,KJ83,AJ87,4,AKQJ83,65,32,A7,9642,QT742,QT965,KJ65,75,A9
15,Q43,Q3,AT864,964,KT965,-,-,AKQJT853,872,K9654,KJ32,2,AJ,AJT872,Q975,7
16,KQ9862,QT2,65,T6,3,A74,KQJ3,QJ432,AJT,KJ96,A97,A97,754,853,T842,K85
17,J5,763,Q63,JT942,Q872,T92,842,AK5,KT943,AK84,J7,87,A6,QJ5,AKT95,Q63
18,A876,AJ3,AK76,52,943,K,QJT93,9843,JT52,964,854,AQ6,KQ,QT8752,2,KJT7
19,KT754,3,Q73,AQ62,Q96,QT86,A84,954,-,954,KJT652,KJ83,AJ832,AKJ72,9,T7
20,-,KQ975,AKT3,A763,AQT975,T63,J8,T2,K64,AJ42,94,QJ85,J832,8,Q7652,K94
21,T,AQ7,AQ7543,Q63,K3,JT65,KJ8,T985,J985,K9,T962,KJ4,AQ7642,8432,-,A72
22,763,AQJT862,J6,J,85,9754,KT9,Q743,AKQT42,-,43,A9865,J9,K3,AQ8752,KT2
23,T84,AQT6,872,JT2,AJ76,3,QT64,Q984,Q3,98542,AKJ5,A5,K952,KJ7,93,K763
24,92,AQJ965,43,K76,JT7654,3,K6,J842,Q8,K874,Q987,A93,AK3,T2,AJT52,QT5
25,KJ86543,7,A95,42,T,8532,JT42,KQ73,Q72,AKJ64,86,AT9,A9,QT9,KQ73,J865
26,93,T9854,T,T7532,K42,K72,975,KJ94,865,Q63,KJ84,AQ6,AQJT7,AJ,AQ632,8
27,AT92,J43,843,Q53,KQ7,T2,KT52,T976,8643,A85,AQ6,KJ4,J5,KQ976,J97,A82
28,AQJ7,JT,K76,QJ42,3,Q963,JT953,K53,984,A542,Q2,A976,KT652,K87,A84,T8
29,A2,T732,JT7,8753,T953,AKJ,964,A62,864,Q64,KQ82,QJT,KQJ7,985,A53,K94
30,Q,AJ764,QT75,AJ2,K9732,T2,KJ8,943,65,Q5,9642,KQT86,AJT84,K983,A3,75
31,A63,976,KT85,984,54,AT52,J62,AKJ3,QJ982,84,AQ43,65,KT7,KQJ3,97,QT72
32,T,A842,J754,AQ92,K63,KQJT97,K2,K6,Q2,653,AQT986,J3,AJ98754,-,3,T8754
33,984,AKT62,AJ9,62,K2,Q5,Q754,AT875,AJ7,J873,K8,Q943,QT653,94,T632,KJ
34,AKQT9,T874,Q5,AJ,J62,QJ52,J87,653,743,A93,A3,KQT74,85,K6,KT9642,982
35,843,KJ54,Q6532,Q,AQ97,6,AKJ94,JT8,652,T732,87,K753,KJT,AQ98,T,A9642
36,AJ7,J85,QT9,KQ42,Q986,T643,KJ,AT6,KT532,A2,86532,5,4,KQ97,A74,J9873
37,83,AQT8,Q543,652,AK4,K532,JT,K943,J92,J4,AK76,QJT8,QT765,976,982,A7
38,A,Q762,AKQJ53,A3,9,KT953,962,KJ84,KQ875,A,T84,QT92,JT6432,J84,7,765
39,83,JT32,AT87,J86,K74,984,6543,Q92,QJ65,KQ7,KJ,AT54,AT92,A65,Q92,K73
40,AKJT52,A2,T752,A,-,Q8743,AKJ3,K953,643,JT965,964,82,Q987,K,Q8,QJT764
41,KQ6,K9,AK63,A743,874,A54,Q972,KJ5,92,J7632,JT,QT96,AJT53,QT8,854,82
42,K9,984,KJT72,K83,Q83,J65,AQ53,T97,JT742,AK32,96,Q2,A65,QT7,84,AJ654
43,Q8,KJ75,KQJ98,J3,J96,T98,A532,K64,AKT43,6432,T7,98,752,AQ,64,AQT752
44,3,T973,JT943,JT7,K654,QJ85,A862,5,AQJ972,AK,5,A432,T8,642,KQ7,KQ986
45,8642,KJT982,-,852,53,AQ43,T74,KQJ6,QJ7,-,AKJ86,AT743,AKT9,765,Q9532,9
46,86532,T53,K52,Q7,AKT,762,A,KJT942,J,AKJ84,QJ864,83,Q974,Q9,T973,A65
47,KJ6,K3,AJ4,AKQ75,T84,J64,98,J9432,Q753,AQ852,63,86,A92,T97,KQT752,T
48,J962,KQJ5,A94,K6,K,A73,KT87653,J4,A8543,T4,Q,A9732,QT7,9862,J2,QT85
49,JT83,A9,42,AJT42,A96,J762,Q953,K6,K4,KQT83,KT8,975,Q752,54,AJ76,Q83
50,KT873,AT64,T6,K3,6,KJ92,Q987,J965,A94,Q875,A3,AQ42,QJ52,3,KJ542,T87
51,Q83,53,AKQ752,J8,AT97542,AK87,J8,-,J6,QJ,9643,Q7643,K,T9642,T,AKT952
52,74,KT3,T52,AKJT6,KT63,642,KQ9,953,QJ82,87,J84,Q742,A95,AQJ95,A763,8
53,982,863,AJ54,982,AQ54,AKQ4,987,J4,K7,J972,T2,AQT63,JT63,T5,KQ63,K75
54,73,3,AQ8763,9432,AK864,96,2,AKQT7,5,AKQJT8,K54,J86,QJT92,7542,JT9,5
55,T,AQ,QJT643,QT76,63,KJT42,K2,K854,KJ74,97653,A8,AJ,AQ9852,8,975,932
56,K62,64,KJ64,T753,754,9,8752,AK862,AJT9,AKQJT75,Q,J,Q83,832,AT93,Q94
57,J542,J7543,T4,A8,7,AQT86,9765,K93,AKQ98,K9,QJ83,T4,T63,2,AK2,QJ7652
58,KQJT,A98,K9,JT98,A765,K75,AJ,AQ72,2,Q643,8754,K653,9843,JT2,QT632,4
59,QT76,AQ74,KQ,AQ8,8532,T863,753,T6,AK9,K92,AJ42,752,J4,J5,T986,KJ943
60,AKQJ,J96,7,AKQ93,542,852,Q32,6542,97,AQ73,AJT5,J87,T863,KT4,K9864,T
61,JT73,J52,T72,QJ9,954,T876,A98543,-,A86,Q3,J6,AK7642,KQ2,AK94,KQ,T853
62,6532,KQ,Q963,KT7,KJT,J864,T,QJ942,8,973,KJ82,A8653,AQ974,AT52,A754,-
63,A53,Q,J6,JT98765,KJ7,J6,AKQ8,AKQ4,964,87532,974,32,QT82,AKT94,T532,-
64,Q9,AT9,Q64,T9862,J8,53,AKT987,J73,K7,KQJ8642,J3,54,AT65432,7,52,AKQ
65,53,AQ8,T862,AQJ5,J,KJ42,Q754,9832,AKQT9864,-,AJ9,K4,72,T97653,K3,T76
66,AQ43,9653,763,T8,9,84,T542,AK6432,8762,KQT7,KQ,J75,KJT5,AJ2,AJ98,Q9
67,K6,Q7653,T,T9875,JT98,AJ,KQ542,43,7432,T,AJ63,QJ62,AQ5,K9842,987,AK
68,T86,AJ84,J86,Q52,Q542,T6532,75,KJ,K3,97,AQT3,T9873,AJ97,KQ,K942,A64
69,KQ543,53,J,KQJ98,JT762,-,7652,AT32,8,KQ9876,A93,754,A9,AJT42,KQT84,6
70,AKQT732,J2,JT7,9,J6,AK874,Q42,KJ2,985,T3,93,QT8764,4,Q965,AK865,A53
71,Q7432,85,J983,63,T,T932,Q742,T542,J65,64,AKT5,AK98,AK98,AKQJ7,6,QJ7
72,72,K8752,AT42,T7,A863,AJT3,Q,AK85,K95,Q64,K97,Q964,QJT4,9,J8653,J32
73,985,AKJ73,Q3,J43,7,QT4,KJ54,KQ652,K6,65,98762,A987,AQJT432,982,AT,T
74,AQ73,87,J8765,A5,K86,QT92,T32,876,T42,J543,AQ9,JT3,J95,AK6,K4,KQ942
75,K83,KQ8,AJT653,4,A9,AT632,Q97,Q87,J75,J4,K2,AKJT95,QT642,975,84,632
76,Q2,A92,J94,AT983,AT7,K87,K32,K654,J954,QJT64,T75,Q,K863,53,AQ86,J72
77,A,KT64,A863,KQT2,954,AQ82,J94,AJ4,KQT763,753,QT,83,J82,J9,K752,9765
78,KQJ543,94,5,KQJT,8762,Q832,97643,-,AT,T65,AKQJ,A987,9,AKJ7,T82,65432
79,9875,J62,4,QJ854,KJ62,QT8,K7,K632,T43,A,AT8532,A97,AQ,K97543,QJ96,T
80,62,AKT62,96,KQ92,K97,QJ4,J54,JT74,QJ853,7,KT873,63,AT4,9853,AQ2,A85
81,K87,843,9432,QT3,2,AKQ52,AKJT8,62,AQJ64,JT6,-,AK975,T953,97,Q765,J84
82,KJ86,KQ9,T3,JT76,A9742,652,K95,Q8,QT53,JT74,87,A93,-,A83,AQJ642,K542
83,Q762,AJ82,4,J872,J8543,-,AKQJ32,94,AK,KT9764,T8,Q53,T9,Q53,9765,AKT6
84,5,T82,8762,QT876,KT74,943,AQT4,J3,AJ86,AKJ,J953,A5,Q932,Q765,K,K942
85,AK4,Q86,A875,AT2,QJT7652,72,9,864,-,KJ943,JT63,K975,983,AT5,KQ42,QJ3
86,Q976,84,KJT4,653,53,K95,A975,AJT7,KT842,AJT2,Q83,K,AJ,Q763,62,Q9842
87,AQ96,A63,8,AQJT2,T5,T85,AJT652,87,82,K42,KQ974,K94,KJ743,QJ97,3,653
88,KQ98742,KJ,Q2,65,AT3,T43,A8753,74,6,AQ65,KT964,J82,J5,9872,J,AKQT93
89,K852,A9,AJ97,K96,AJ3,T43,Q854,J87,T76,QJ8765,-,AQ54,Q94,K2,KT632,T32
90,9,964,AQJT754,72,AJ42,KQ83,32,QT5,T83,5,K986,KJ963,KQ765,AJT72,-,A84
91,AQ6532,Q6,Q65,KJ,JT94,J873,KJT,52,K87,T95,A94,Q983,-,AK42,8732,AT764
92,J932,A963,95,AJT,A765,J852,Q4,984,K4,4,KJT72,K7532,QT8,KQT7,A863,Q6
93,A8752,A87,32,QT4,QT3,T963,KT985,8,J64,J2,QJ6,AK763,K9,KQ54,A74,J952
94,AJ42,K643,J974,7,K96,AJ98,53,K964,QT,Q,AKT8,AQT853,8753,T752,Q62,J2
95,QT92,K9,KJ32,KJ8,AK73,T62,A4,A954,J8,AQ853,9,QT732,654,J74,QT8765,6
96,QT4,JT65,KJ,J532,KJ986,874,Q985,8,7532,AK93,AT6,T9,A,Q2,7432,AKQ764
97,5,K987,A3,AJ8753,AQJ,Q543,KQJ65,2,T92,AJT2,T987,94,K87643,6,42,KQT6
98,KT8,542,A62,KQ74,Q9765,9873,QJ5,9,J4,6,K9874,A8632,A32,AKQJT,T3,JT5
99,J54,Q9876,53,J54,A73,JT2,KT97,AT3,Q98,43,AQJ842,86,KT62,AK5,6,KQ972
100,KQ43,T8,Q93,KQ92,AJ982,A763,J6,A5,T6,Q52,AT8752,84,75,KJ94,K4,JT763
101,96,J72,AT76,J872,KJT873,AQ,K4,KQ6,Q52,T9864,983,T9,A4,K53,QJ52,A543
102,76,J86,972,T7642,J95,K4,QT84,KJ93,A82,AQ7,AKJ653,A,KQT43,T9532,-,Q85
103,943,AQ96,J,QJT43,T87,2,KQ974,9762,AKJ6,K8743,A62,8,Q52,JT5,T853,AK5
104,KT3,J943,J5,AK72,J987,A87,A2,JT96,AQ64,KQT65,T7,Q8,52,2,KQ98643,543
105,Q98762,A,AKJ84,5,-,QJ94,Q963,QJT73,JT54,653,7,A9842,AK3,KT872,T52,K6
106,Q873,Q5,T64,9753,AKJ9,KJT74,K3,84,54,A8632,QJ5,AKQ,T62,9,A9872,JT62
107,T854,QJ,K984,J32,AKQ96,853,762,A9,32,KT6,QT3,K8654,J7,A9742,AJ5,QT7
108,J53,Q9,9754,AKJ6,A62,AKJ,AJ8,T754,KQ94,T75,KQ,9832,T87,86432,T632,Q
109,Q962,K6,KJ963,AQ,873,A843,Q87,763,KT5,J9752,A5,K98,AJ4,QT,T42,JT542
110,Q94,542,K65,Q732,JT852,A9,AQ972,T,A3,QJ6,J84,AKJ98,K76,KT873,T3,654
111,T9874,95,K7,8643,QJ3,T84,T652,AJT,6,Q62,AQ943,9752,AK52,AKJ73,J8,KQ
112,A9,KJ74,QJT3,962,JT7,Q32,AK98,874,862,A85,752,QJT3,KQ543,T96,64,AK5
113,865,T98,K6,AJT75,K3,4,J75432,6432,A942,J653,T98,KQ,QJT7,AKQ72,AQ,98
114,-,J87543,J643,Q42,AKT7,AT92,AQ8,65,J9632,K,T72,KT98,Q854,Q6,K95,AJ73
115,AT,T73,8732,T984,K97,J9862,QJ,Q32,84,K,AK9654,KJ65,QJ6532,AQ54,T,A7
116,-,AJ92,KQ9732,Q84,QJ7642,T5,4,K973,A,KQ87,JT6,AJ652,KT9853,643,A85,T
117,7,AK73,K43,AJ653,AKQ3,4,J62,KQ842,T542,Q865,A97,T9,J986,JT92,QT85,7
118,T542,Q92,A93,872,KQJ6,AT873,82,95,A9873,K64,J6,Q63,-,J5,KQT754,AKJT4
119,AKT9,KJ8753,T,K7,87652,T,KQ54,T92,QJ,Q6,A98762,A63,43,A942,J3,QJ854
120,AKT2,K9,Q4,KQJ64,975,83,J985,9872,Q4,AQJT75,T73,A3,J863,642,AK62,T5
121,A96,K864,K7,AJ92,8,JT953,AJ4,Q843,KQT42,A72,T865,6,J753,Q,Q932,KT75
122,T73,K87542,T,543,AK62,AJ,AJ642,T6,QJ985,QT96,83,J2,4,3,KQ975,AKQ987
123,Q7,K5,AQJ3,KJT76,AKJ8,64,98765,43,T2,AQJ32,T4,A952,96543,T987,K2,Q8
124,AQ8,A872,A63,K85,T2,Q543,KJ74,932,97643,K96,Q95,AQ,KJ5,JT,T82,JT764
125,AKQT,QJ,AK8,QJ85,-,87652,93,976432,J987643,A94,52,K,52,KT3,QJT764,AT
126,T62,943,QJT4,983,A4,JT875,K82,A52,KQJ853,KQ,95,QT6,97,A62,A763,KJ74
127,972,J874,K654,72,6,KQ965,A2,AJT95,KJT84,AT3,J,K843,AQ53,2,QT9873,Q6
128,A5,AT2,AK9764,KT,KJ6432,KQJ7,2,J9,T9,953,T53,87532,Q87,864,QJ8,AQ64
129,Q98762,3,AT98,A3,K,KJ95,KJ742,742,AJ5,A8762,Q5,KJ9,T43,QT4,63,QT865
130,KQT543,J,A96,T97,9872,QT943,KQ,Q8,J,A87,JT853,J532,A6,K652,742,AK64
131,AQ43,KT98,7,KQ94,KJ2,J54,KQ83,762,75,AQ732,AJ42,JT,T986,6,T965,A853
132,K432,AK9872,A,T3,AT8,T,J8765,J752,Q6,QJ63,K9,AKQ96,J975,54,QT432,84
133,K9,AQT,AJT87,J92,85,KJ84,Q942,AQ7,AQ42,765,65,K854,JT763,932,K3,T63
134,JT85,4,AJ,K97543,72,T872,943,AQT6,AK3,KQ953,KT87,8,Q964,AJ6,Q652,J2
135,T94,KQJ973,3,KQ9,AQ,A84,KJT964,52,K8752,62,A8752,8,J63,T5,Q,AJT7643
136,AQT653,J9752,3,5,KJ4,Q,Q964,AJ962,97,8643,KT7,8743,82,AKT,AJ852,KQT
137,Q74,J964,T,QJ632,A65,T532,A8763,5,K,AQ,KJ94,AKT974,JT9832,K87,Q52,8
138,983,AK62,KQ6,JT6,AJT52,Q83,952,85,Q64,T,J87,AK7432,K7,J9754,AT43,Q9
139,43,T74,AQJ843,T4,765,A83,52,QJ983,AQT9,QJ92,T6,AK7,KJ82,K65,K97,652
140,K95,T93,Q42,AJ42,AQ7,754,J,KQT875,J632,Q86,AK953,9,T84,AKJ2,T876,63
141,73,QJ432,AKJ8,Q9,JT9852,K7,QT7,K7,AK,865,6532,J543,Q64,AT9,94,AT862
142,Q76,432,AT54,J72,T98,AKJT5,K97,Q9,A43,Q8,Q62,AK863,KJ52,976,J83,T54
143,KJ7,6,KQ974,K975,32,J52,AJ532,J63,AT95,AT9,T86,Q42,Q864,KQ8743,-,AT8
144,Q4,QJ94,87,QT754,J76532,K82,AQ,A2,T9,A53,J96,KJ986,AK8,T76,KT5432,3
145,QJ4,765,Q52,A862,A83,KJ98,K863,93,KT952,3,AT4,QJT5,76,AQT42,J97,K74
146,KJ97,K643,Q2,Q73,A642,Q9,T9,KT965,T8,72,K76543,A84,Q53,AJT85,AJ8,J2
147,J32,K,A98654,A96,AKQ7,T,KJT3,JT43,T84,A7542,Q,Q872,965,QJ9863,72,K5
