Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
0,5,62,JT765,AKJ5,Q3,J9743,K84,T2,K84,AT,A32,943,AT962,KQ85,Q9,Q876,J75
1,6,764,J543,AK765,9,JT5,A7,QJ2,KQJT8,A983,8,983,A6432,KQ2,KQT962,T4,75
2,4,T95,8,J2,KQ76432,Q76,AJT,KT64,JT9,AJ32,KQ9542,AQ5,-,K84,763,9873,A85
3,2,AT,AT6,JT63,9732,97543,7532,7,J64,KQJ,J98,AQ982,T5,862,KQ4,K54,AKQ8
4,12,A64,J92,KJ64,A82,QJT52,KT43,AQ,63,K83,A865,T8753,4,97,Q7,92,KQJT975
5,8,AKJ,T9875,54,KQ3,Q9863,K4,AKT3,54,T752,A62,Q76,T62,4,QJ3,J982,AJ987
6,2,5,T82,8762,QT876,Q932,Q765,K,K942,KT74,943,AQT4,J3,AJ86,AKJ,J953,A5
7,8,A8752,A87,32,QT4,K9,KQ54,A74,J952,QT3,T963,KT985,8,J64,J2,QJ6,AK763
8,4,AT96,J7653,AQJ,Q,J542,Q42,652,T84,K873,8,KT98,K976,Q,AKT9,743,AJ532
9,3,J92,Q832,862,643,43,J9,AJ75,AQ952,AKT65,5,KQT94,J8,Q87,AKT764,3,KT7
10,9,AKJ8,AKJ,A8,JT87,T9652,Q864,T53,2,Q74,T92,Q76,Q543,3,753,KJ942,AK96
11,7,AJ43,J83,J98,852,K5,AKT6542,-,AQ64,Q72,Q9,A532,KJ97,T986,7,KQT764,T3
12,4,82,QJ8632,J7,652,AT43,K954,AQ85,T,KJ9765,A,T64,A43,Q,T7,K932,KQJ987
13,4,843,AK962,K84,42,T9,T75,63,AT8753,AKJ7,83,AQJT95,6,Q652,QJ4,72,KQJ9
14,6,KJ872,92,KJ93,74,Q65,Q843,A6,A952,AT3,AJ,T75,QJT83,94,KT765,Q842,K6
15,7,T,AT962,AK96,KQ4,J9864,QJ8,J87,73,73,73,QT53,98652,AKQ52,K54,42,AJT
16,11,K765,AK43,AKT,A6,A82,72,J87543,54,Q43,QJ985,Q9,973,JT9,T6,62,KQJT82
17,7,4,Q52,A654,KT652,J9852,A74,K87,AJ,KQT73,KJ86,QJ9,3,A6,T93,T32,Q9874
18,0,QT64,98,Q87643,Q,J982,QT753,2,J84,K7,KJ62,AT,KT753,A53,A4,KJ95,A962
19,6,K863,84,J432,KJT,AJ942,J9,A98,Q87,Q5,Q76,QT75,A963,T7,AKT532,K6,542
20,6,QT5,A6,QJT5,9753,4,J8432,K97,AJT6,AJ863,Q97,432,Q4,K972,KT5,A86,K82
21,6,T52,AQ6,82,QJ982,6,T9743,AJ65,A54,AKJ73,J85,973,T3,Q984,K2,KQT4,K76
22,6,K763,963,KT4,K52,JT84,A5,Q865,A73,A95,KQT74,2,T986,Q2,J82,AJ973,QJ4
23,5,Q6,3,KQT83,KJT83,JT42,AKJT762,5,6,A987,Q85,AJ4,754,K53,94,9762,AQ92
24,4,9752,632,T3,J965,KQJT8,Q74,A76,Q2,63,J95,KJ942,AK3,A4,AKT8,Q85,T874
25,8,854,KT,A42,K9853,J6,AQ4,QT9753,A6,972,J9753,K86,T4,AKQT3,862,J,QJ72
26,5,Q4,76,9532,97632,AJ3,AT985,KJ4,AQ,T9752,Q4,T6,KT85,K86,KJ32,AQ87,J4
27,7,KT72,KQ4,65,AKT5,83,J62,QT98,QJ83,A965,AT8,J742,64,QJ4,9753,AK3,972
28,10,AK98,AJ,AQ82,A87,J652,KQ,J65,J953,Q3,T96532,K73,42,T74,874,T94,KQT6
29,10,AQ43,AT652,T764,-,876,9,AKJ53,AQT8,KJT52,K87,9,J954,9,QJ43,Q82,K7632
30,6,K76,J83,JT764,A7,943,AK972,2,KQ95,QT85,T65,A8,J832,AJ2,Q4,KQ953,T64
31,7,K8,KT,QT98,T6432,T954,AJ9873,AJ,9,AQJ632,64,K62,75,7,Q52,7543,AKQJ8
32,7,J,J862,AJ,AJ8643,KT54,T53,KT632,Q,932,974,Q754,KT2,AQ876,AKQ,98,975
33,7,Q752,JT85,A964,K,AJ9,A32,Q82,JT84,KT86,KQ94,J3,A72,43,76,KT75,Q9653
34,1,Q5,8653,KQ63,Q54,A,T97,JT87,KJ983,T6,QJ2,A9542,A62,KJ987432,AK4,-,T7
35,12,AQT653,J9752,3,5,82,AKT,AJ852,KQT,KJ4,Q,Q964,AJ962,97,8643,KT7,8743
36,4,QT95,T42,872,Q93,76,QJ95,T93,AKJ2,42,AK86,AQJ6,765,AKJ83,73,K54,T84
37,3,AQ753,T765,94,Q8,64,KQJ94,K7653,3,K8,A82,Q8,KT9742,JT92,3,AJT2,AJ65
38,7,K6,Q7653,T,T9875,AQ5,K9842,987,AK,JT98,AJ,KQ542,43,7432,T,AJ63,QJ62
39,4,AT92,J43,843,Q53,J5,KQ976,J97,A82,KQ7,T2,KT52,T976,8643,A85,AQ6,KJ4
40,6,T,AQ7,AQ7543,Q63,AQ7642,8432,-,A72,K3,JT65,KJ8,T985,J985,K9,T962,KJ4
41,5,A,KT64,A863,KQT2,J82,J9,K752,9765,954,AQ82,J94,AJ4,KQT763,753,QT,83
42,8,97542,K74,AT932,-,K83,AT92,K4,KQ98,AQJ6,5,QJ5,JT732,T,QJ863,876,A654
43,4,Q943,62,AQJT64,K,AK6,7,K9,QT98654,J2,AKQT9543,87,J,T875,J8,532,A732
44,10,J653,7,AKQ97,AJ9,KT,KQT3,653,QT63,74,AJ9842,842,K7,AQ982,65,JT,8542
45,7,97,J72,KQJ986,K4,KT843,AKQ,T,J963,QJ5,864,A74,AT85,A62,T953,532,Q72
46,7,K95,T93,Q42,AJ42,T84,AKJ2,T876,63,AQ7,754,J,KQT875,J632,Q86,AK953,9
47,12,KT954,AJ8743,AJ,-,Q,KT9,K98,AKJ943,AJ3,Q6,QT75432,T,8762,52,6,Q87652
48,3,KJT94,KJT62,4,97,853,43,K98763,Q2,A62,Q5,QJ2,AJ843,Q7,A987,AT5,KT65
